List of Health Insurance Regulatory Returns ,,,,,
,,,,,
Sno.,Form Number,Description,Freq.,Timeline,Applicability
1,HIR-1-a,Details of product performance - Health Insurance ,Yearly, 60 days,General/Health Insurers
2,HIR-1-b,Details of product performance - Personal Accident ,Yearly, 60 days,General/Health Insurers
3,HIR-1-c,Details of product performance - Domestic Travel Insurance ,Yearly, 60 days,General/Health Insurers
4,HIR-1-d,Details of product performance - Overseas Travel Insurance ,Yearly, 60 days,General/Health Insurers
5,HIR-2,Details of product performance - Health Insurance Products of Life Insurers,Yearly, 60 days,Life Insurers only
6,HIR-3,Details of performance of Health Insurance Riders of Life Insurers,Yearly, 60 days,Life Insurers only
7,HIR-4-a,Details of performance of Add-ons - Health Insurance,Yearly, 60 days,General/Health Insurers
8,HIR-4-b,Details of performance of Add-ons - Personal Accident,Yearly, 60 days,General/Health Insurers
9,HIR-4-c,Details of performance of Add-ons - Domestic Travel Insurance,Yearly, 60 days,General/Health Insurers
10,HIR-4-d,Details of performance of Add-ons - Overseas Travel Insurance,Yearly, 60 days,General/Health Insurers
11,HIR-5,Details of performance of Combi-products ,Yearly, 60 days,Life/General/Health Insurers - Data to be submitted by Lead Insurers
12,HIR-6-a-i,Details of State-wise Channel-wise Business - Health Insurance- Group Policies,Yearly, 60 days,Life/General/Health Insurers
13,HIR-6-a-ii,Details of State-wise Channel-wise Business - Health Insurance- Individual Policies,Yearly, 60 days,Life/General/Health Insurers
14,HIR-6-b-i,Details of State-wise Channel-wise Business - Personal Accident - Group Policies,Yearly, 60 days,General/Health Insurers
15,HIR-6-b-ii,Details of State-wise Channel-wise Business - Personal Accident- Individual Policies,Yearly, 60 days,General/Health Insurers
16,HIR-6-c-i,State-wise Channel-wise Number of Policies Issued and Gross Premium - Domestic Travel- Group policies,Yearly, 60 days,General/Health Insurers
17,HIR-6-c-ii,State-wise Channel-wise Number of Policies Issued and Gross Premium - Domestic Travel- Individual Policies,Yearly, 60 days,General/Health Insurers
18,HIR-6-d-i,State-wise Channel-wise Number of Policies Issued and Gross Premium - Overseas Travel- Group Policies,Yearly, 60 days,General/Health Insurers
19,HIR-6-d-ii,State-wise Channel-wise Number of Policies Issued and Gross Premium - Overseas Travel- Individual Policies,Yearly, 60 days,General/Health Insurers
24,HIR-7-a-i,State-wise details of new business and renewal business - Health Insurance- Group Family Floater,Yearly, 60 days,Life/General/Health Insurers
25,HIR-7-a-ii,State-wise details of New Business & Renewal Business - Health Insurance- Group- Other than Family Floater,Yearly, 60 days,Life/General/Health Insurers
26,HIR-7-a-iii,State-wise details of New Business & Renewal Business - Health Insurance- Individual Family Floater,Yearly, 60 days,Life/General/Health Insurers
27,HIR-7-a-iv,State-wise details of New Business & Renewal Business - Health Insurance- Individual Other Than Family Non-Floater,Yearly, 60 days,Life/General/Health Insurers
28,HIR-7-b-i,State-wise details of New Business & Renewal Business - Personal Accident Insurance- Group Insurance,Yearly, 60 days,General/Health Insurers only
29,HIR-7-b-ii,State-wise details of New Business & Renewal Business - Personal Accident Insurance- Individual Insurance,Yearly, 60 days,General/Health Insurers only
30,HIR-7-c-i,State-wise details of New Business & Renewal Business - Overseas Travel Insurance- Group Insurance,Yearly, 60 days,General/Health Insurers only
31,HIR-7-c-ii,State-wise details of New Business & Renewal Business - Overseas Travel Insurance- Individual Insurance,Yearly, 60 days,General/Health Insurers only
32,HIR-7-d-i,State-wise details of New Business & Renewal Business - Domestic Travel Insurance- Group Insurance,Yearly, 60 days,General/Health Insurers only
33,HIR-7-d-ii,State-wise details of New Business & Renewal Business -  Domestic Travel Insurance- Individual Insurance,Yearly, 60 days,General/Health Insurers only
34,HIR-8-a-i,Details of product-wise settlement of claims through TPAs- Health Insurance,Yearly, 60 days,Life/General/Health Insurers
35,HIR-8-a-ii,Details of product-wise settlement of claims  through In-house settlement -Health Insurance,Yearly, 60 days,Life/General/Health Insurers
36,HIR-8-b-i,Details of product-wise settlement of claims  through TPAs- Personal Accident,Yearly, 60 days,General/Health Insurers
37,HIR-8-b-ii,Details of product-wise settlement of claims through In-house settlement -Personal Accident,Yearly, 60 days,General/Health Insurers
38,HIR-8-c-i,Details of product-wise settlement of claims through TPAs- Oversaes Travel Insurance,Yearly, 60 days,General/Health Insurers
39,HIR-8-c-ii,Details of product-wise settlement of claims through In-house settlement -Oversaes Travel Insurance,Yearly, 60 days,General/Health Insurers
40,HIR-8-d-i,Details of product-wise settlement of claims through TPAs- Domestic Travel Insurance,Yearly, 60 days,General/Health Insurers
41,HIR-8-d-ii,Details of product-wise settlement of claims through In-house settlement -Domestic Travel Insurance,Yearly, 60 days,General/Health Insurers
42,HIR-9-a,Product wise claims performance and aging - Health Insurance ,Yearly, 60 days,Life/General/Health Insurers
43,HIR-9-b,Product wise claims performance and aging - Personal Accident ,Yearly, 60 days,General/Health Insurers
44,HIR-9-c,Product wise claims performance and aging - Domestic Travel ,Yearly, 60 days,General/Health Insurers
45,HIR-9-d,Product wise claims performance and aging - Overseas  travel ,Yearly, 60 days,General/Health Insurers
46,HIR-10-a-i,State-wise claims paid by mode of settlement of claims (Health) - Individual Policies,Yearly, 60 days,Life/General/Health Insurers
47,HIR-10-a-ii,State-wise claims paid by mode of settlement of claims (Health) - Group Policies,Yearly, 60 days,Life/General/Health Insurers
48,HIR-10-b-i,State-wise claims paid by mode of settlement of claims (PA) - Individual Policies,Yearly, 60 days,General/Health Insurers
49,HIR-10-b-ii,State-wise claims paid by mode of settlement of claims (PA) - Group Policies,Yearly, 60 days,General/Health Insurers
50,HIR-10-c-i,State-wise claims paid by mode of settlement of claims (Domestic Travel) - Individual Policies,Yearly, 60 days,General/Health Insurers
51,HIR-10-c-ii,State-wise claims paid by mode of settlement of claims (Domestic Travel) - Group Policies,Yearly, 60 days,General/Health Insurers
52,HIR-10-d-i,State-wise claims paid by mode of settlement of claims (Overses Travel) - Individual Policies,Yearly, 60 days,General/Health Insurers
53,HIR-10-d-ii,State-wise claims paid by mode of settlement of claims (Overses Travel) - Group Policies,Yearly, 60 days,General/Health Insurers
54,HIR-11-a-i,State-wise channel-wise details of claims paid - Group Health Policies,Yearly, 60 days,Life/General/Health Insurers
